"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MT2A",6.98408594067458e-16,2.9797016389162,0.897,0.375,3.77839049390495e-13
"ISG15",7.24563601310702e-16,3.30266287400284,0.931,0.312,3.9198890830909e-13
"USP18",1.57613376887972e-14,2.87158564447016,0.81,0.162,8.52688368963928e-12
"TNFSF10",2.57932687115871e-13,3.523512934631,0.776,0.2,1.39541583729686e-10
"DDX58",7.84535532442888e-11,4.04127033356722,0.569,0.075,4.24433723051602e-08
"LAMP3",3.37949821054257e-10,2.70142422664948,0.655,0.138,1.82830853190353e-07
"ZBP1",1.41730480660578e-09,2.48297091827941,0.638,0.138,7.66761900373726e-07
"IFITM1",1.04641252175038e-07,1.98173152387667,0.81,0.462,5.66109174266955e-05
"IFITM3",2.70724557941345e-07,1.87322269899329,0.793,0.438,0.000146461985846268
"IFI16",3.18267958805869e-07,1.094472831038,0.914,0.625,0.000172182965713975
"STAT2",3.672501352545e-07,1.5314906437147,0.897,0.738,0.000198682323172685
"STAT1",1.22565319848283e-06,1.0536813418397,0.931,0.688,0.000663078380379213
"HLA-A",1.52956257236213e-06,0.851536930488677,1,1,0.000827493351647914
"ADAR",1.77012116427441e-06,1.18370376217424,1,0.875,0.000957635549872458
"LAP3",2.10534725289663e-06,1.26923406237826,0.776,0.438,0.00113899286381708
"IFIH1",9.16148654944188e-06,3.04201031554347,0.414,0.1,0.00495636422324806
"OAS1",2.16051438342265e-05,1.58315780155655,0.569,0.225,0.0116883828143165
"IFITM2",4.41420129162027e-05,1.20557814238099,0.724,0.4,0.0238808289876657
