"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ISG15",1.23941211783102e-09,0.528457340379081,0.566,0.286,6.70521955746579e-07
"PTPRC",2.38133955091815e-07,-0.523151745693642,0.977,0.981,0.000128830469704672
"LAMP3",6.01057574425953e-06,0.552186803408169,0.389,0.206,0.00325172147764441
"PIK3IP1",7.03725203032384e-06,-0.751480352700519,0.685,0.775,0.0038071533484052
"USP18",1.10983502655138e-05,0.394354209322092,0.344,0.174,0.00600420749364299
"DDX58",1.99812635408873e-05,0.774868151758208,0.322,0.17,0.01080986357562
"BTG1",2.39667347780817e-05,-0.643570067844446,0.974,0.974,0.0129660035149422
"LCK",4.59199859758934e-05,-0.531734768391713,0.707,0.778,0.0248427124129583
"TNFSF10",0.000137288053940777,0.409552640127524,0.431,0.267,0.0742728371819606
"CD3D",0.000406763031953079,-0.430679348408786,0.868,0.904,0.220058800286616
"CD2",0.000475157964983109,-0.404956740705281,0.833,0.859,0.257060459055862
"CD44",0.000486697483342713,-0.727319957895248,0.701,0.733,0.263303338488408
"CBLB",0.000515005859713,-1.19187503391659,0.363,0.473,0.278618170104733
"CXCR4",0.000547750322344949,-1.35655689675688,0.576,0.614,0.296332924388617
"IRF7",0.000574017252541616,0.643732729658606,0.215,0.109,0.310543333625014
"MT2A",0.00065398149357048,0.724865362349338,0.537,0.383,0.35380398802163
"MAPK1",0.000749226758338595,1.93849875007033,0.084,0.023,0.40533167626118
"ZBP1",0.00101531050918429,0.411690025173709,0.238,0.132,0.549282985468699
"CustomAbSeq11-ACU7011-pAbO",0.00104383805045524,-0.758836478643355,0.997,0.99,0.564716385296286
"FYN",0.00140029938129016,-0.623761409768733,0.704,0.759,0.757561965277979
"LAP3",0.00140300082607576,0.307157321399794,0.576,0.402,0.759023446906987
"LGALS9",0.00159626844884018,1.58431616776608,0.084,0.026,0.863581230822537
"MAF",0.00174489379386144,0.940794510596768,0.084,0.026,0.943987542479036
"PASK",0.002691278383996,-0.728473926021675,0.437,0.511,1
"VNN2",0.00339451969071203,0.908111167031951,0.135,0.064,1
"PDIA4",0.0036048893228225,0.433933947618755,0.251,0.154,1
"LTA",0.00624923455683415,0.730415801040617,0.151,0.08,1
"DOCK8",0.00677603815050998,-0.81924193269084,0.486,0.54,1
"IGHG1-secreted",0.00787577977056694,-6.68319063906116,0,0.023,1
"TRAC",0.00833300094155082,-0.368524267158224,0.949,0.942,1
"HLA-A",0.00972040248121225,-0.227211277762529,1,0.997,1
"SLC16A1",0.0103854863852547,-2.50061715714798,0.045,0.096,1
"DUSP2",0.0107079654152809,-1.51853112595321,0.177,0.248,1
"JUND",0.01076686809665,-0.431945067800859,0.907,0.868,1
"CustomAbSeq14-ACU7014-pAbO",0.0119325122201507,2.2506494481836,0.035,0.006,1
"LEF1",0.012204951473072,-0.672310862590653,0.685,0.653,1
"CD69-CD69-AHS0010-pAbO",0.0128828736193361,0.251829450758676,0.961,0.897,1
"CD247",0.0134020137738859,-0.665344012443343,0.508,0.543,1
"NFKB1",0.0134090987575741,-0.678240191965255,0.437,0.489,1
"DUSP4",0.0141078052931821,-2.97208760700504,0.016,0.051,1
"GAPDH",0.0143892302432036,-0.498466629858916,0.63,0.637,1
"IL23R",0.0158485900107041,-0.509088337562327,0.83,0.81,1
"CCR5",0.0164531945792277,1.05678003781868,0.116,0.061,1
"STAT2",0.0177168491734652,0.104357779601497,0.814,0.707,1
"CD47-Cd47-AMM2224-pAbO",0.0185525654189727,2.44968231123788,0.039,0.01,1
"CD274",0.0186349939166924,1.31296528950892,0.084,0.039,1
"CCR1",0.0187983275894066,3.82202149389545,0.026,0.003,1
"CREM",0.0189075465029308,-3.4059223620916,0.003,0.026,1
"F5",0.0193499904978734,0.230636841627969,0.003,0.026,1
"CCR7",0.0194656394277006,-0.964578304926996,0.505,0.524,1
"S100A10",0.0214462258529252,-0.592029922567959,0.64,0.675,1
"LGALS1",0.0227645402975672,0.388984778627013,0.174,0.109,1
"CD27",0.0230607367936874,-1.03816172940644,0.248,0.309,1
"IFNG",0.0237481143036449,0.513137403359504,0.611,0.646,1
"FAM65B",0.0257523655808692,-0.460242774620387,0.553,0.611,1
"PCNA",0.0264475836712335,0.574596532621907,0.228,0.154,1
"IKZF2",0.0280301036525543,0.388147375840004,0.077,0.035,1
"CD45RA:HI100-PTPRC-AHS0009-pAbO",0.0292224463530677,0.366719427148963,0.965,0.961,1
"STAT3",0.0313137560314498,-0.571353770670675,0.267,0.334,1
"STAT5A",0.0314802263756485,0.538743797651898,0.193,0.132,1
"ID2",0.0339177574347722,-2.64815602426662,0.023,0.055,1
"TOX",0.0359957313937064,1.74199695069719,0.055,0.023,1
"FTH1",0.0399520733233671,0.345083611732934,0.1,0.055,1
"SATB1",0.0409332509513849,-0.405209551549584,0.81,0.814,1
"KIR2DL1",0.0451532669114247,-3.80313439529378,0,0.013,1
"ZBTB16",0.0462222031911558,-1.54746321082776,0.035,0.071,1
"NAMPT",0.048868826759376,-0.734779762620883,0.125,0.177,1
"CASP1",0.0515819493806535,-0.150394355702977,0.431,0.334,1
"TGFA",0.0522061375192023,0.466029737882452,0.032,0.01,1
"SELL",0.0551626832389046,-0.583183220682367,0.643,0.637,1
"IL21R",0.0561127034812862,-1.41678544957048,0.016,0.042,1
"FCGR3A",0.0567690277093416,-4.13006495404339,0.003,0.019,1
"MCM4",0.0567690277093416,3.86558490983095,0.019,0.003,1
"CTSD",0.0574068612548869,-2.92869527391615,0.003,0.019,1
"SOCS1",0.0587935786089853,-2.71178212425849,0.026,0.055,1
"GNLY",0.0594404950214829,-0.472758168693058,0.087,0.132,1
"CD4",0.0604115708544468,-0.904753205449428,0.071,0.113,1
"CD6",0.0606197115425033,-0.44101543636987,0.492,0.537,1
"CASP5",0.0610309606689707,0.175974932133534,0.588,0.476,1
"IL7R",0.0613856660503392,-0.935243130402664,0.788,0.778,1
"LAMP1",0.0641476452292475,-0.380185603441145,0.662,0.672,1
"KLRC2",0.0653787254144407,1.59372320472953,0.08,0.045,1
"IL26",0.065690373642369,2.79949228949583,0.035,0.013,1
"CCL20",0.0675605452199748,-1.13776668460052,0.035,0.068,1
"CustomAbSeq13-ACU7013-pAbO",0.0703360936730994,0.722136513823946,0.093,0.055,1
"MR1",0.0705094983580386,0.844987907070913,0.035,0.013,1
"CD69",0.0733711284170902,-0.471344879537759,0.441,0.479,1
"BTLA",0.0745033235624605,-0.187372422249824,0.026,0.055,1
"TRBC2",0.0789692772725875,-0.371084850012126,0.997,0.974,1
"FOXO1",0.0798525502256283,-1.38810666641966,0.148,0.193,1
"NFKBIZ",0.0805038327945746,-0.468590211177126,0.424,0.45,1
"CD160",0.0830989988518647,-3.1608974766117,0,0.01,1
"CD70",0.0830989988518647,4.8939940874,0.01,0,1
"CD72",0.0830989988518647,-4.9134611941871,0,0.01,1
"CEACAM8",0.0830989988518647,3.40217421263832,0.01,0,1
"IL1RN",0.0830989988518647,3.59585072368481,0.01,0,1
"TNFSF13",0.0830989988518647,4.92651704607016,0.01,0,1
"IL12RB1",0.0903103176250221,0.237150230120108,0.039,0.016,1
"ADGRG1",0.0953674450639151,0.216710503867743,0.006,0.023,1
"MYC",0.0973010194276597,-0.498114242345866,0.543,0.556,1
"TXK",0.1084101022504,-1.36379008419397,0.113,0.151,1
"CD7",0.113136861823646,-0.667587138492341,0.068,0.103,1
"IL2RG",0.113154896160905,-0.335784889247606,0.723,0.72,1
"CD52",0.116280260754479,-0.29683909169778,0.804,0.759,1
"IL12RB2",0.116353711029139,1.02259176967594,0.087,0.055,1
"THBS1",0.126859299210662,-2.16434737831033,0.01,0.026,1
"IL23A",0.127718273965385,0.487062878851841,0.035,0.016,1
"IKZF3",0.128633678484824,-0.603939624899166,0.254,0.296,1
"JUNB",0.13183923143305,0.314366618517496,0.035,0.016,1
"TRIB2",0.136913120954286,-1.16211769178792,0.138,0.174,1
"CASP3",0.139207029868122,0.111458690148068,0.116,0.08,1
"RUNX1",0.142516677718136,0.408044022312251,0.061,0.035,1
"KLRC1",0.144496332189583,1.81068697606183,0.084,0.055,1
"NFKBIA",0.149518744442949,1.51553497145337,0.051,0.029,1
"CD3G",0.151264685631877,-0.118562479198341,0.267,0.209,1
"CXCL16",0.153312185189888,-4.38300776596365,0.006,0.019,1
"RUNX3",0.155006693349994,-0.325556645543522,0.537,0.547,1
"ITGB2",0.157277507568053,-0.525258224793756,0.116,0.151,1
"MCM2",0.15764803824751,0.874321638337155,0.039,0.019,1
"XBP1",0.160204175112727,-0.206317890079625,0.347,0.277,1
"NOTCH1",0.160633527071898,-1.43113665532837,0.048,0.074,1
"TRBV28",0.170646115438062,0.498897448365756,0.055,0.032,1
"ZAP70",0.179125333619956,-2.89545173502659,0.016,0.032,1
"CD28",0.181174385201181,-0.16933889117615,0.251,0.193,1
"ITGA1",0.182037811226736,-0.778393804069844,0.051,0.077,1
"LAYN",0.183014857892844,-0.532994716192519,0.035,0.058,1
"BACH1",0.183992148417139,0.345144124536782,0.196,0.154,1
"CD8A",0.190605151101357,-0.294318807396448,0.605,0.592,1
"PRDM1",0.191332640786866,0.156988258301363,0.138,0.103,1
"CD74",0.192534151657237,-0.420973018026997,0.72,0.701,1
"CD9",0.195405507762429,0.146653555884723,0.016,0.032,1
"HLA-DPA1",0.195447037309939,0.508679107750081,0.113,0.08,1
"NR4A3",0.197149669728246,1.37361953569497,0.016,0.032,1
"IL4R",0.198615675548215,-0.344081464426646,0.061,0.087,1
"DPP4",0.200727625091461,0.811223855650933,0.158,0.122,1
"BATF",0.201590171125217,-0.204121891981728,0.212,0.164,1
"IFNGR2",0.202828299706735,-1.08354361878757,0.064,0.09,1
"Streptavidin03-ASAV4003-pAbO",0.207262888181497,0.943920249519054,0.048,0.029,1
"IL2RB",0.208848477741956,-0.957128190605489,0.415,0.437,1
"STAT6",0.216563482209153,0.286529121664642,0.048,0.029,1
"PDIA6",0.218224722324903,-0.345369009000062,0.543,0.521,1
"IKZF1",0.220456763857609,-0.530294057281174,0.521,0.502,1
"CXCR6",0.223055540781222,0.54790019096664,0.125,0.093,1
"TIGIT",0.233409515825358,-0.667326156772985,0.051,0.074,1
"KIT",0.241750145732294,-1.12249095354343,0.023,0.039,1
"CCL3",0.242703191249375,-0.335226871413356,0.051,0.074,1
"NCR3",0.242942553337527,1.17658575087775,0.055,0.035,1
"IL18",0.24335058068535,-0.785917932769026,0.051,0.032,1
"EGR1",0.243662670169166,-0.253464374960117,0.048,0.071,1
"S1PR1",0.24531420165612,-0.575527844573659,0.334,0.36,1
"SLC4A10",0.249301799698433,0.643043713721378,0.209,0.174,1
"CD38",0.249988123538627,2.42833578028164,0.016,0.006,1
"IRF3",0.255051112592523,-1.16513760949825,0.006,0.016,1
"DUSP1",0.258761683572594,-0.561826777319426,0.277,0.299,1
"CD64:MD22-FCGR1A-AHS0180-pAbO",0.259827742533459,-0.223550277371025,0.116,0.087,1
"IFIH1",0.264298669785411,-0.456843617610031,0.125,0.093,1
"FOXO3",0.26635165401803,0.508497255081421,0.17,0.135,1
"RPN2",0.268281796188861,-0.351509408264954,0.643,0.621,1
"BCL6",0.271911586783361,-1.01477174207037,0.09,0.113,1
"IL15RA",0.273433130128171,-0.251690815903217,0.106,0.08,1
"IFITM3",0.280135942312308,-0.153784285587088,0.547,0.466,1
"IRF1",0.284907162152318,-0.420427219685258,0.579,0.579,1
"NFATC1",0.291947547262985,0.241946733108461,0.103,0.077,1
"KLRK1",0.293808928393945,-0.960957385863203,0.502,0.495,1
"CD5",0.294441868067612,-0.744170139897915,0.141,0.167,1
"CEBPD",0.294683889342308,-0.356549344052253,0.077,0.055,1
"TIAF1",0.30019772063369,-1.35865000375546,0.032,0.048,1
"NR1D1",0.314588325256198,-3.29502943228295,0.003,0.01,1
"ENTPD1",0.315748597037068,-0.835386631140727,0.01,0.019,1
"BCL2L1",0.316141884178446,-1.48451843956118,0.003,0.01,1
"PAX5",0.316141884178446,-1.80470343893536,0.003,0.01,1
"WNT10A",0.316790446780431,0.692824968768673,0.019,0.01,1
"HLA-DR-CD74-AHS0035-pAbO",0.317700470764531,1.83145947138147,0.01,0.003,1
"IL1R1",0.317700470764531,0.341150435156776,0.01,0.003,1
"TNFRSF9",0.317700470764531,-1.06894407604765,0.003,0.01,1
"FCER1G",0.318880904150501,0.232447688088547,0.019,0.01,1
"SOCS3",0.319264085040526,0.20974586994157,0.01,0.003,1
"ANXA1",0.329995009427732,-0.20153408569666,0.781,0.752,1
