"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ISG15",5.27217102087548e-10,3.33580115105604,0.917,0.27,2.85224452229363e-07
"TNFSF10",1.31728265536027e-08,4.19511407136939,0.792,0.216,7.12649916549907e-06
"STAT2",7.61346417486451e-08,2.52425711081075,0.917,0.676,4.1188841186017e-05
"IFITM1",1.97478698063293e-07,2.47368600407286,0.938,0.622,0.000106835975652241
"LAMP3",4.71238975919036e-07,3.22633119344214,0.708,0.162,0.000254940285972198
"IFITM3",9.45673446632758e-07,2.37473802150498,0.917,0.568,0.000511609334628322
"STAT1",3.41846858217938e-06,1.8617043239431,0.917,0.568,0.00184939150295905
"DDX58",5.43201896653051e-06,4.41650281850972,0.583,0.135,0.00293872226089301
"IFI16",6.15796560935329e-06,1.81468063706452,0.917,0.649,0.00333145939466013
"CASP1",8.74739828543458e-06,1.79364892058956,0.854,0.459,0.00473234247242011
"USP18",1.57938888980509e-05,2.51787986579145,0.667,0.216,0.00854449389384555
"LAP3",1.78832637222646e-05,2.31946384153897,0.812,0.541,0.00967484567374516
"ADAR",1.97230853500267e-05,1.20592591184742,1,0.919,0.0106701891743644
"LAG3",2.59685236090154e-05,2.39602190030331,0.771,0.486,0.0140489712724773
"IFITM2",3.82993744128665e-05,1.93856446336739,0.896,0.595,0.0207199615573608
"ZBP1",4.94804956411848e-05,2.3660599153158,0.562,0.135,0.026768948141881
"CD45RA:HI100-PTPRC-AHS0009-pAbO",5.50579314993615e-05,-1.44081605139429,0.979,0.973,0.0297863409411546
"CD45RO-PTPRC-AHS0036-pAbO",5.73324838419308e-05,-1.91856451733981,0.625,0.919,0.0310168737584846
"CustomAbSeq11-ACU7011-pAbO",8.35737725011866e-05,-1.49582820804809,1,1,0.0452134109231419
"CD8:SK1-CD8A-AHS0228-pAbO",0.000156816090274504,-1.56523112067895,0.979,1,0.0848375048385065
"CXCR6",0.000270005204312775,1.90798599400398,0.604,0.189,0.146072815533211
"MT2A",0.000302744015484048,2.07835960411178,0.812,0.595,0.16378451237687
"TRAC",0.000391788127706298,1.06994717441311,1,0.946,0.211957377089107
"OAS1",0.000619768026430212,3.24558731994106,0.5,0.189,0.335294502298745
"HLA-A",0.000772778241123771,0.848246244697236,1,1,0.41807302844796
"CD63",0.00228223481626359,1.23510110319117,0.729,0.432,1
"CD68",0.0024799306336312,4.8996786389774,0.271,0.027,1
"CD48",0.00307116741227561,0.810939530128318,1,0.973,1
"PRF1",0.00435192556150398,1.27906935959489,0.812,0.622,1
"KLRK1",0.00467542098464972,-1.63510956416696,0.333,0.649,1
"S100A11",0.00504398084309992,0.924516626827788,0.938,0.676,1
"ITGA4",0.00716801059170663,2.01545423192878,0.417,0.162,1
"NR3C1",0.00796819786916374,-1.82257326673006,0.146,0.405,1
"CBLB",0.0087965726299831,1.0063229131043,0.812,0.649,1
"CEBPD",0.0101866564670886,1.74395733598568,0.417,0.162,1
"IFIH1",0.010430559373406,2.22704548019128,0.271,0.054,1
"GBP5",0.0125570379437416,2.47602424814295,0.521,0.324,1
"NR4A2",0.016395626182418,-1.98592221401057,0.042,0.216,1
"CCR1",0.0164677344088022,6.57471379075741,0.146,0,1
"SLC4A10",0.0171817541561461,0.475074582117426,1,1,1
"CD2",0.0179310323675149,0.878616687215097,0.896,0.973,1
"SMAD3",0.0184835364973354,-1.36732339255338,0.188,0.432,1
"TNFAIP3",0.0204845460922634,1.80602319672136,0.604,0.459,1
"ADA",0.0275967679974403,2.27837469291069,0.271,0.081,1
"CCR5",0.0304788326949338,1.41468140872063,0.521,0.297,1
"PDIA6",0.0327762110766208,0.648410072339376,0.833,0.703,1
"CD8A",0.035202890712499,0.601048963423921,0.917,0.892,1
"CXCR4",0.0370128381295772,-0.505961430156653,0.542,0.865,1
"BIN2",0.0387209485003017,1.42493301086087,0.479,0.297,1
"IRF1",0.0410488531934459,1.37962099391278,0.646,0.541,1
"CCL4",0.0437105452678341,3.66869158525003,0.354,0.162,1
"IGHG1-secreted",0.0474282138962523,-5.98757386278428,0,0.081,1
"LGALS3",0.0498344093478659,-1.09187261600281,0.438,0.622,1
"IRF7",0.0506674068388626,0.824045900337482,0.292,0.108,1
"BCL6",0.0576409923840258,5.53337466265686,0.146,0.027,1
"ANXA1",0.0614462220511837,0.411616555363501,0.979,0.973,1
"THEMIS",0.0637333433219613,2.66016945208747,0.188,0.054,1
"NCR3",0.0696192079541653,1.25294685166374,0.271,0.108,1
"NFKB1",0.071827770597419,-0.631687771144782,0.396,0.622,1
"RPN2",0.0751808873918222,0.350372444716527,0.771,0.703,1
"CD70",0.0758257005742886,5.30172203636769,0.083,0,1
"IL12RB1",0.0758257005742886,6.20987380836895,0.083,0,1
"CASP5",0.0796570113889473,0.669452509174154,0.75,0.676,1
"KIT",0.0828037887442072,-1.08814817278655,0.062,0.189,1
"FYN",0.0843716997286889,0.750231173416239,0.875,0.865,1
"IL18R1",0.0937120618885189,1.02335464136689,0.542,0.405,1
"DUSP4",0.0954614710636481,-1.90704581797833,0.104,0.243,1
"BATF",0.0963177168861187,-1.21471796449468,0.167,0.324,1
"CD27",0.0974987855019311,-1.20342746272518,0.125,0.27,1
"BCL2",0.097835884302356,-0.507139533778186,0.062,0.189,1
"IKZF3",0.0986870811073148,1.97831297008476,0.354,0.216,1
"GPR65",0.100049851661316,1.30834671955618,0.438,0.297,1
"IL10",0.101089298278914,2.73046513806435,0.167,0.054,1
"IL6ST",0.103277917025735,1.45205095206626,0.417,0.297,1
"STAT4",0.105483907076023,0.923746806828157,0.542,0.405,1
"CD64:MD22-FCGR1A-AHS0180-pAbO",0.108834097807019,-2.65347582844931,0,0.054,1
"FTH1",0.108834097807019,-4.67470302536595,0,0.054,1
"ICAM1",0.108834097807019,-4.91674246529761,0,0.054,1
"KIR2DL1",0.108834097807019,-3.47365173541647,0,0.054,1
"MS4A1",0.108834097807019,-3.50733249370562,0,0.054,1
"SOCS2",0.108834097807019,-5.69304085258461,0,0.054,1
"XCL2",0.108834097807019,-5.56139359654831,0,0.054,1
"SIT1",0.111919471674073,1.73276880455918,0.125,0.027,1
"GAPDH",0.112801724801529,-0.623058837475129,0.771,0.919,1
"GIMAP2",0.114336784003231,0.974197924316702,0.604,0.486,1
"LEF1",0.117704068265903,0.890894833135515,0.375,0.216,1
"KLRC2",0.123275720320076,1.38352185170087,0.354,0.216,1
"CustomAbSeq14-ACU7014-pAbO",0.127267516915388,4.8904653177057,0.062,0,1
"JUNB",0.127267516915388,6.10148869399013,0.062,0,1
"MCM4",0.127267516915388,4.69406389906562,0.062,0,1
"SATB1",0.128318610871126,0.109905106525506,1,0.784,1
"HLA-DMA",0.129707560988998,-1.43815459447783,0.042,0.135,1
"CD56:NCAM16.2-NCAM1-AHS0019-pAbO",0.13520956306033,0.264731954166736,0.708,0.622,1
"CCR7",0.135249818035101,-1.67338089776824,0.062,0.162,1
"CD37",0.137511757022858,0.32089340631957,0.542,0.405,1
"IL18RAP",0.14371360129931,0.29669860833192,0.875,0.757,1
"APOBEC3G",0.144810173273051,-0.173840787251207,0.583,0.432,1
"ANXA5",0.146113112183413,0.935833977376638,0.583,0.432,1
"SELPLG",0.148315235805409,0.527795246138818,0.562,0.351,1
"TNFSF13B",0.149261956397743,1.36780909097518,0.521,0.432,1
"IL32",0.153005117537045,0.255863766706429,0.979,1,1
"NAMPT",0.154286032021681,-0.418579069346792,0.167,0.324,1
