"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ISG15",5.27217102087548e-10,3.33580115105604,0.917,0.27,2.85224452229363e-07
"TNFSF10",1.31728265536027e-08,4.19511407136939,0.792,0.216,7.12649916549907e-06
"STAT2",7.61346417486451e-08,2.52425711081075,0.917,0.676,4.1188841186017e-05
"IFITM1",1.97478698063293e-07,2.47368600407286,0.938,0.622,0.000106835975652241
"LAMP3",4.71238975919036e-07,3.22633119344214,0.708,0.162,0.000254940285972198
"IFITM3",9.45673446632758e-07,2.37473802150498,0.917,0.568,0.000511609334628322
"STAT1",3.41846858217938e-06,1.8617043239431,0.917,0.568,0.00184939150295905
"DDX58",5.43201896653051e-06,4.41650281850972,0.583,0.135,0.00293872226089301
"IFI16",6.15796560935329e-06,1.81468063706452,0.917,0.649,0.00333145939466013
"CASP1",8.74739828543458e-06,1.79364892058956,0.854,0.459,0.00473234247242011
"USP18",1.57938888980509e-05,2.51787986579145,0.667,0.216,0.00854449389384555
"LAP3",1.78832637222646e-05,2.31946384153897,0.812,0.541,0.00967484567374516
"ADAR",1.97230853500267e-05,1.20592591184742,1,0.919,0.0106701891743644
"LAG3",2.59685236090154e-05,2.39602190030331,0.771,0.486,0.0140489712724773
"IFITM2",3.82993744128665e-05,1.93856446336739,0.896,0.595,0.0207199615573608
"ZBP1",4.94804956411848e-05,2.3660599153158,0.562,0.135,0.026768948141881
