"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CD45RO-PTPRC-AHS0036-pAbO",0.000520265202665433,0.4617803363853,0.98,0.919,0.281463474641999
"ITGA4",0.000584520522204167,2.41469734603085,0.51,0.162,0.316225602512454
"DUSP4",0.00108562725706503,-5.42740384784257,0.02,0.243,0.587324346072179
"CXCR6",0.00263407777519262,1.34938065780383,0.529,0.189,1
"IL18R1",0.00839698041602542,1.07245599842877,0.706,0.405,1
"PIK3IP1",0.0113502438241287,-1.0495122820149,0.412,0.649,1
"STAT1",0.011808648651032,0.84977892499821,0.804,0.568,1
"CXCR4",0.0162632770813246,-0.763222314876521,0.608,0.865,1
"CustomAbSeq14-ACU7014-pAbO",0.020131560131646,5.10224557485867,0.137,0,1
"SMAD3",0.0215741866517295,-1.2220047449132,0.216,0.432,1
"CD44",0.0278135770502037,-0.707815735082178,0.824,0.946,1
"IKZF2",0.0318149470380564,1.42179130786404,0.275,0.081,1
"CCR1",0.0325467579423407,6.54855823247721,0.118,0,1
"ISG15",0.0349157624113978,0.502980086501462,0.549,0.27,1
"IGHG1-secreted",0.0410052328657064,-6.07503670403461,0,0.081,1
"TNFRSF9",0.0410052328657064,-2.94966419637118,0,0.081,1
"CEBPD",0.042450255868083,1.50277378793206,0.373,0.162,1
"ZBTB16",0.0455517160085888,-1.16778188206768,0.118,0.297,1
"DUSP2",0.0495379991882792,-1.09522820708264,0.294,0.486,1
"IFI16",0.050551923070215,1.12626315440045,0.824,0.649,1
"NCR3",0.0588892585163177,2.0561919725775,0.275,0.108,1
"SLAMF1",0.0595663218301513,1.01071443680722,0.529,0.351,1
"CD27",0.0619821730546392,-1.84165664891916,0.118,0.27,1
"FTH1",0.0708167053908437,1.10846820531951,0.196,0.054,1
"IL15",0.0708167053908437,-1.2475045783637,0.078,0.216,1
"CCL4",0.0727914577275237,3.47703103549215,0.353,0.162,1
"NR4A2",0.0753527218234383,-0.635245599940214,0.078,0.216,1
"CD37",0.0777606672517284,0.216039012487842,0.608,0.405,1
"CD68",0.0779361407257844,2.77207293410758,0.137,0.027,1
"MAPK1",0.0779361407257844,3.04241460452954,0.137,0.027,1
"CustomAbSeq11-ACU7011-pAbO",0.0801586708140307,-0.816146360568158,1,1,1
"RUNX2",0.0802010660678046,-0.441158380544227,0.235,0.459,1
"TOX",0.0851834801007034,5.98347662406141,0.078,0,1
"BACH1",0.0881729160364953,2.16685845857246,0.255,0.108,1
"MAF",0.0904843427324147,1.24273535050474,0.255,0.108,1
"RUNX1",0.090659823500309,2.20031818359763,0.176,0.054,1
"KLRK1",0.0924208739497676,-0.567072922961089,0.471,0.649,1
"HLA-DPA1",0.0970152149340549,1.43950969356515,0.216,0.081,1
"HLA-DMA",0.0974496132076143,-3.04266701952203,0.039,0.135,1
"CD160",0.0982307438117147,-2.44713402464193,0,0.054,1
"CREM",0.0982307438117147,-4.66867196561286,0,0.054,1
