"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"IL32",0.000191564638222809,1.14289732646012,1,1,0.10363646927854
"TCR-Valpha7-TRAV7--AHS0282-pAbO",0.000279559973360206,-0.86906739398883,0.828,0.946,0.151241945587872
"CustomAbSeq11-ACU7011-pAbO",0.000503888695240629,-1.31193406265544,1,1,0.27260378412518
"CD8:SK1-CD8A-AHS0228-pAbO",0.00117923327131458,-1.0777992476328,0.989,1,0.63796519978119
"CXCR6",0.00143686857716853,1.24229559509694,0.529,0.189,0.777345900248176
"RPN2",0.00253894520302192,0.742609486174702,0.862,0.703,1
"STAT4",0.00532145830294255,1.37004559914826,0.644,0.405,1
"NKG7",0.00605654698392572,1.07615874247527,0.816,0.703,1
"GNLY",0.00646673865672671,2.6808886465184,0.46,0.216,1
"GPR171",0.00764610815776637,-6.0208380204102,0,0.081,1
"IGHG1-secreted",0.00764610815776637,-6.84555485791185,0,0.081,1
"CD63",0.00766165156105597,0.882700420072276,0.678,0.432,1
"CD45RA:HI100-PTPRC-AHS0009-pAbO",0.0097147248866406,-0.937602081168627,0.977,0.973,1
"SLC4A10",0.011279280279766,0.699978272560998,1,1,1
"SLAMF1",0.0117221843476496,1.78131059320695,0.529,0.351,1
"IL18R1",0.0132474036532084,1.19616166512332,0.598,0.405,1
"NCR3",0.0138880895865883,1.93357906168168,0.322,0.108,1
"MAF",0.0149017212671595,2.03185405961999,0.31,0.108,1
"BAX",0.0168879117445254,1.2587350175574,0.644,0.459,1
"ITGA4",0.0190418955974849,2.03089547530879,0.368,0.162,1
"TRIB2",0.019089575502725,-0.724507285288135,0.08,0.243,1
"CCR6",0.0197731946792144,-1.02358616909854,0.069,0.216,1
"IL15",0.0203038342510947,-1.77515379696342,0.069,0.216,1
"CD3G",0.0206247756685698,1.51631606577833,0.379,0.162,1
"TRAC",0.0222863832769385,0.560056881722842,1,0.946,1
"FTH1",0.0225013111626395,2.70446420754513,0.218,0.054,1
"IKZF1",0.0237818043547632,1.22104743516674,0.621,0.432,1
"KIT",0.0253767691202571,-2.02194052446482,0.057,0.189,1
"CD27",0.029972633763728,-1.20524934079147,0.115,0.27,1
"CD160",0.0303987566152091,-3.21765217851917,0,0.054,1
"IRF3",0.0303987566152091,-5.7745125184547,0,0.054,1
"KIR2DL1",0.0303987566152091,-4.33163273054404,0,0.054,1
"MS4A1",0.0303987566152091,-4.36531348883319,0,0.054,1
"SELPLG",0.0315621446595479,0.961161783839076,0.609,0.351,1
"BCL2",0.0323704225474601,-0.407232407616233,0.057,0.189,1
"KLRB1",0.0331877590921621,0.331801183727437,1,1,1
"FYN",0.0391997900809412,0.650526037894204,0.943,0.865,1
"HLA-A",0.042203711081716,0.540987141158851,1,1,1
"LGALS9",0.0456912128407985,-2.46286909945124,0.011,0.081,1
"ADA",0.0468405438429631,1.67889523911962,0.241,0.081,1
"TNFSF13B",0.0472164897017883,0.120807335970749,0.241,0.432,1
"TNFSF10",0.0496165638811276,1.87236900529047,0.356,0.216,1
"TNFRSF9",0.0496982512449109,0.805036606420562,0.011,0.081,1
"DUSP4",0.0509244898912794,-1.31444282656053,0.103,0.243,1
"FOXO3",0.0517227669831519,2.46198335588764,0.253,0.108,1
"TRBC2",0.0525417561405127,0.662618934798837,1,1,1
"SMAD3",0.0560039409263214,-1.07910784433308,0.276,0.432,1
"S100A11",0.0568028641669587,0.865614241111547,0.828,0.676,1
"IL12RB1",0.0585477829958009,5.62617110554668,0.092,0,1
"CD74",0.0602343931468865,0.731059159972065,0.828,0.703,1
"GAPDH",0.0606395934834519,0.644415523888293,0.943,0.919,1
"EGR1",0.0612970764758854,-0.812944334411305,0.057,0.162,1
"IFI16",0.0619120501889361,0.906274899736833,0.747,0.649,1
"CASP1",0.0628240432813789,0.959422310622633,0.667,0.459,1
"HIF1A",0.0672378143989472,0.772508442878831,0.908,0.919,1
"MAPK1",0.0675173270701929,2.25978695028075,0.138,0.027,1
"APOBEC3G",0.0698733324051897,0.282716553201079,0.575,0.432,1
"DPP4",0.0699410340799903,0.950970403530009,0.552,0.432,1
"IFNGR1",0.0729641194319117,0.970331608430671,0.621,0.486,1
"BIN2",0.0750520085169921,1.3358795326172,0.425,0.297,1
"CEBPD",0.0769914996253261,1.58751064483233,0.322,0.162,1
"MCM2",0.0781896017210103,4.9404239205292,0.08,0,1
"IFNG",0.0783372139691855,2.82004962942697,0.805,0.703,1
"LGALS1",0.0808279301246722,0.294948779874768,0.253,0.108,1
"CCND2",0.0836187223892641,0.961843043546134,0.287,0.135,1
"NR4A2",0.085959116376694,-2.08616033106714,0.103,0.216,1
"GPR65",0.0864974670971027,1.14101494798833,0.437,0.297,1
"PRDM1",0.0882955880154118,1.00675596806429,0.414,0.27,1
"BACH1",0.0908814667638978,2.57772094545037,0.23,0.108,1
"ID2",0.0929427826531827,2.7420303410307,0.195,0.081,1
"CCL4",0.100341134276914,3.20419756749998,0.31,0.162,1
"PIK3IP1",0.101176247751773,-0.602852756018839,0.529,0.649,1
"KLRF1",0.101336649435286,-1.88823321612802,0.034,0.108,1
"CCR1",0.104608481827267,5.39290760076747,0.069,0,1
"S100A10",0.105248023671348,0.307516175953296,0.943,0.811,1
"LCK",0.105740692832732,0.616824939968844,0.805,0.784,1
"ADAR",0.11181839192602,0.433090294070403,0.885,0.919,1
"KLRD1",0.112800100142573,3.57723283733614,0.184,0.081,1
"SLC25A37",0.116382352593792,-0.344657158210759,0.034,0.108,1
"SATB1",0.119402167652274,0.283999752336117,0.943,0.784,1
"ITGB2",0.121091658688308,2.14416723889148,0.241,0.135,1
"PDIA6",0.122255840691426,0.885299484114711,0.713,0.703,1
"NR3C1",0.123832109294425,-0.422720014952942,0.253,0.405,1
