"","Var1","Var2","Freq"
"1","IFN-a2","MAIT",48
"2","IFN-g","MAIT",51
"3","IFN-l3","MAIT",87
"4","Unstimulated","MAIT",37
"5","IFN-a2","T_CD4_memory",32
"6","IFN-g","T_CD4_memory",58
"7","IFN-l3","T_CD4_memory",91
"8","Unstimulated","T_CD4_memory",53
"9","IFN-a2","T_CD4_naive",40
"10","IFN-g","T_CD4_naive",51
"11","IFN-l3","T_CD4_naive",96
"12","Unstimulated","T_CD4_naive",58
"13","IFN-a2","T_CD8_memory",58
"14","IFN-g","T_CD8_memory",77
"15","IFN-l3","T_CD8_memory",101
"16","Unstimulated","T_CD8_memory",80
"17","IFN-a2","T_CD8_naive",46
"18","IFN-g","T_CD8_naive",74
"19","IFN-l3","T_CD8_naive",153
"20","Unstimulated","T_CD8_naive",83
