pathway,pval,padj,log2err,ES,NES,size,leadingEdge
GOBP_ACTIVATION_OF_IMMUNE_RESPONSE,0.36792452830188677,0.8014197646179713,0.06783382634794552,0.35009006115117036,1.0769558534524446,43,
GOBP_ADAPTIVE_IMMUNE_RESPONSE,0.6475054229934925,0.918185066095034,0.03753629052029203,0.27577673287392196,0.9147824937450545,86,
GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS,0.3538812785388128,0.7931113662456947,0.06815134386794833,0.3404612342070409,1.0754816317068308,56,
GOBP_ALPHA_BETA_T_CELL_ACTIVATION,0.8773148148148148,0.9785714285714286,0.025833172098232257,0.22813599647619204,0.7080669231997614,48,
GOBP_ALPHA_BETA_T_CELL_DIFFERENTIATION,0.8347406513872135,0.971655784683529,0.03048941262985108,0.2491642032874179,0.7386563912383048,36,
GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION,0.9041994750656168,0.9799206133716044,0.03070373680938417,0.25497442726152447,0.6465952250891567,16,
GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS,0.8531468531468531,0.9748071979434448,0.12267918956880833,-0.19652480549544735,-0.7828497858286789,47,
GOBP_ANIMAL_ORGAN_MORPHOGENESIS,0.9987745098039216,1,0.02179600268318178,0.16824762912727403,0.46996530410438525,26,
GOBP_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY,0.7858880778588808,0.9687420432249463,0.03382454444621642,0.2689179062298131,0.7778660366653063,31,
GOBP_APOPTOTIC_SIGNALING_PATHWAY,0.2730496453900709,0.7416163208125384,0.0833634065110386,0.3777567789306485,1.15083234250586,40,
GOBP_BEHAVIOR,0.6582914572864321,0.9253937418723008,0.11776578836269024,-0.25669186422399776,-0.8641214586585696,23,
GOBP_BIOLOGICAL_ADHESION,0.9227513227513228,0.9885260370697264,0.017547978322576253,0.21528377857350928,0.7290138589434888,101,
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERACTION_WITH_HOST,0.03280839895013123,0.486280487804878,0.2878571172551493,0.6060869401651205,1.5369891236100477,16,
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERSPECIES_INTERACTION_BETWEEN_ORGANISMS,6.00143797973803e-5,0.006601581777711833,0.557332238758646,0.5008379542668165,1.723418827187279,134,
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION,0.04326328800988875,0.5170857370183993,0.24133997681509095,0.5610859387529573,1.5331183695048516,24,
