pathway,pval,padj,log2err,ES,NES,size,leadingEdge
GOBP_ACTIVATION_OF_IMMUNE_RESPONSE,0.5326504481434059,0.9980535581453013,0.054120056962023176,0.3268110588248211,0.9594544365349648,45,
GOBP_ADAPTIVE_IMMUNE_RESPONSE,0.16666666666666666,0.9980535581453013,0.11146266692298015,0.3778157403287645,1.2142909848018653,81,
GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS,0.39486552567237165,0.9980535581453013,0.06613262047584399,0.34549189673743896,1.054879218776723,54,
GOBP_ALPHA_BETA_T_CELL_ACTIVATION,0.7971698113207547,0.9980535581453013,0.10135074379709887,-0.22413492714306443,-0.825943629775895,46,
GOBP_ALPHA_BETA_T_CELL_DIFFERENTIATION,0.9507133592736705,0.9980535581453013,0.027588589580002907,0.21724591000541282,0.6077044852360951,34,
GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION,0.5498614958448753,0.9980535581453013,0.05629407497009682,0.39825851377201354,0.9469755903227082,15,
GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS,0.6506329113924051,0.9980535581453013,0.04441811530815725,0.3008253366800069,0.8869820515101622,46,
GOBP_ANIMAL_ORGAN_MORPHOGENESIS,0.285336856010568,0.9980535581453013,0.08705158679467351,0.4305620013747172,1.1582842317186832,29,
GOBP_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY,0.4625322997416021,0.9980535581453013,0.06116926267466889,0.3682563707487207,1.0204581154799832,33,
GOBP_APOPTOTIC_SIGNALING_PATHWAY,0.2685788787483703,0.9980535581453013,0.08971046527429813,0.4052738288814337,1.1645989062607063,40,
GOBP_BEHAVIOR,0.4372623574144487,0.9980535581453013,0.12687572992985735,-0.32679522595672944,-1.0260721720075046,22,
GOBP_BIOLOGICAL_ADHESION,0.6704416761041903,0.9980535581453013,0.03792714671080983,0.27113111405454027,0.8993380184498931,99,
