pathway,pval,padj,log2err,ES,NES,size,leadingEdge
GOBP_ACTIVATION_OF_IMMUNE_RESPONSE,0.7607476635514019,1,0.05513517633852569,0.2561752617647356,0.8249877241336219,41,
GOBP_ADAPTIVE_IMMUNE_RESPONSE,0.602996254681648,1,0.06628421870126719,0.2564748717407863,0.9386958883586536,81,
GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS,0.3013182674199623,1,0.10473282158065095,0.32807665710163253,1.106616298596972,51,
GOBP_ALPHA_BETA_T_CELL_ACTIVATION,0.796976241900648,1,0.05973179763644106,-0.2419000668956169,-0.8224895504575256,47,
GOBP_ALPHA_BETA_T_CELL_DIFFERENTIATION,0.6161825726141079,1,0.07028128417173922,-0.28134105659316444,-0.9115647831403755,36,
GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION,0.4076190476190476,1,0.08756971155485113,0.38633129357580787,1.0267757445100723,17,
GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS,0.6751592356687898,1,0.0668966276500666,-0.25721223171231555,-0.8860427590238128,52,
GOBP_ANIMAL_ORGAN_MORPHOGENESIS,0.9959016393442623,1,0.04697587278218445,-0.16611351391975634,-0.5154119409416859,29,
GOBP_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY,0.5238095238095238,1,0.07850290473486872,-0.3088334904360867,-0.9597637102403719,30,
GOBP_APOPTOTIC_SIGNALING_PATHWAY,0.9828326180257511,1,0.049690139272460555,-0.187658503774022,-0.6120164379018456,39,
GOBP_BEHAVIOR,0.3755186721991701,1,0.09721508088464663,-0.3585851570120504,-1.0424290568278227,22,
GOBP_BIOLOGICAL_ADHESION,0.6166666666666667,1,0.06464845684219278,0.24379438094812392,0.9287083890037718,103,
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERSPECIES_INTERACTION_BETWEEN_ORGANISMS,0.5952890792291221,1,0.07362127410143941,-0.23930607837968582,-0.9484847558771563,131,
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION,0.8219461697722568,1,0.05629407497009682,-0.2741903101759194,-0.7761329024782584,20,
GOBP_BLOOD_VESSEL_MORPHOGENESIS,0.9238900634249472,1,0.051845762486506596,-0.2177256202457467,-0.6892696187945785,33,
GOBP_B_CELL_ACTIVATION,0.7451820128479657,1,0.06252374147247618,-0.2602657440153089,-0.8481085332189459,38,
GOBP_B_CELL_DIFFERENTIATION,0.8840304182509505,1,0.048995408986248136,0.25204809405272577,0.6783390163523663,18,
GOBP_B_CELL_MEDIATED_IMMUNITY,0.7610062893081762,1,0.060509298865666666,-0.2997779219894091,-0.8122038664390516,17,
GOBP_B_CELL_PROLIFERATION,0.8955512572533849,1,0.04919275210451909,0.24163042992265368,0.6781880847709129,21,
GOBP_CALCIUM_ION_TRANSPORT,0.5260115606936416,1,0.0745500777420554,0.3417167392243019,0.9475232046127281,20,
