pathway,pval,padj,log2err,ES,NES,size,leadingEdge
GOBP_ACTIVATION_OF_IMMUNE_RESPONSE,0.7605985037406484,1,0.03653149283491246,0.25339963107338936,0.8222952662420123,47,
GOBP_ADAPTIVE_IMMUNE_RESPONSE,0.04939759036144578,0.9740085891313612,0.22205604614524838,0.3766341557629955,1.3380241696133266,94,
GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS,0.043640897755610975,0.9740085891313612,0.24133997681509095,0.4162635689568116,1.4087848643040946,61,
GOBP_ALPHA_BETA_T_CELL_ACTIVATION,0.7722772277227723,1,0.03546650103337246,0.2438360017227197,0.8033817817703066,51,
GOBP_ALPHA_BETA_T_CELL_DIFFERENTIATION,0.8240506329113924,1,0.03345617410605075,0.25013385094093243,0.7770132038832308,37,
GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION,0.44625850340136053,0.9740085891313612,0.06538341954687732,0.3803854013334076,1.0140530982977178,18,
GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS,0.56,0.9957746478873241,0.050702793702934776,0.2827370784250715,0.9371853751915427,54,
GOBP_ANIMAL_ORGAN_MORPHOGENESIS,0.6921086675291074,1,0.04258777792732544,0.28594888187283385,0.8537520851394625,31,
GOBP_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY,0.9220183486238532,1,0.0911073131586733,-0.1929983619777666,-0.6847861126682065,36,
GOBP_APOPTOTIC_SIGNALING_PATHWAY,0.6030150753768844,1,0.04754341942013011,0.28424697290312917,0.9106001674527853,43,
GOBP_BEHAVIOR,0.4880952380952381,0.9879319747632176,0.12210792028708148,-0.3106232528747731,-0.9987103797220366,23,
GOBP_BIOLOGICAL_ADHESION,0.17058823529411765,0.9740085891313612,0.11101149245045029,0.3277672024208652,1.187404118583542,107,
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERACTION_WITH_HOST,0.47202797202797203,0.9879319747632176,0.11573444770168878,-0.3306682183507117,-0.9801361019226326,16,
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERSPECIES_INTERACTION_BETWEEN_ORGANISMS,0.8022222222222222,1,0.028362848715164396,0.22488967870521615,0.8392429310526013,146,
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION,0.9719251336898396,1,0.028010662922648945,0.2061012099653619,0.5731129337438552,22,
