pathway,pval,padj,log2err,ES,NES,size,leadingEdge
GOBP_ACTIVATION_OF_IMMUNE_RESPONSE,0.3955056179775281,0.8530513328927076,0.06197627360019979,0.35009006115117036,1.057839996951618,43,
GOBP_ADAPTIVE_IMMUNE_RESPONSE,0.6499466382070438,0.9299781990171083,0.03660822213366891,0.27577673287392196,0.9151401919196439,86,
GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS,0.34945054945054943,0.8230944632618272,0.0668966276500666,0.3404612342070409,1.0702679699220026,56,
GOBP_ALPHA_BETA_T_CELL_ACTIVATION,0.8965896589658966,0.9889701892375092,0.02179600268318178,0.22813599647619204,0.7043381557392843,48,
GOBP_ALPHA_BETA_T_CELL_DIFFERENTIATION,0.856815578465063,0.9785964728661887,0.026535090911575503,0.2491642032874179,0.7323072791445031,36,
GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION,0.9152542372881356,0.9919011438590633,0.02977746126070601,0.25497442726152447,0.6310902560893883,16,
GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS,0.8681318681318682,0.9785964728661887,0.1563124030731863,-0.19652480549544735,-0.8156588585121953,47,
GOBP_ANIMAL_ORGAN_MORPHOGENESIS,0.9952550415183867,1,0.020048039110235276,0.16824762912727403,0.4650811114448806,26,
GOBP_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY,0.8058479532163743,0.9785964728661887,0.03070373680938417,0.2689179062298131,0.7658287895670891,31,
GOBP_APOPTOTIC_SIGNALING_PATHWAY,0.3127147766323024,0.7999680332454248,0.0745500777420554,0.3777567789306485,1.1257329573244874,40,
GOBP_BEHAVIOR,0.6075268817204301,0.9299781990171083,0.1281429168984153,-0.25669186422399776,-0.9131437935679457,23,
GOBP_BIOLOGICAL_ADHESION,0.92,0.9921568627450981,0.01739147175566728,0.21528377857350928,0.7208220145943927,101,
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERACTION_WITH_HOST,0.03911342894393742,0.4602380346592034,0.2616635217115731,0.6060869401651205,1.5001330383965064,16,
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERSPECIES_INTERACTION_BETWEEN_ORGANISMS,6.919391361499498e-5,0.007611330497649447,0.5384340963099162,0.5008379542668165,1.7076554966758921,134,
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION,0.031591737545565005,0.4442348430084455,0.28201335001172506,0.5610859387529573,1.5268937340365925,24,
GOBP_BLOOD_VESSEL_MORPHOGENESIS,0.42105263157894735,0.8773502250777954,0.060903934745241806,0.3668020210590576,1.0445847646841366,31,
GOBP_B_CELL_ACTIVATION,0.49942594718714123,0.898897115295997,0.05205700307320985,0.3333501837942283,0.9884588121780065,38,
GOBP_B_CELL_DIFFERENTIATION,0.9596412556053812,1,0.08756971155485113,-0.18916481760875584,-0.614836291090453,18,
GOBP_B_CELL_MEDIATED_IMMUNITY,0.2805486284289277,0.7737183309057153,0.0847985102819124,0.4426876784692643,1.1732447565014141,21,
GOBP_B_CELL_PROLIFERATION,0.3316831683168317,0.8063016246376019,0.0755015292281669,0.4236117137178943,1.1307207907511179,22,
GOBP_CALCIUM_ION_TRANSPORT,0.06359102244389027,0.5093304061470911,0.19782202131510335,0.5427054168176352,1.4383194192526245,21,
GOBP_CALCIUM_MEDIATED_SIGNALING,0.11262376237623763,0.6014150943396226,0.1446305280344838,0.5072862100597819,1.3540679967077696,22,
GOBP_CARBOHYDRATE_DERIVATIVE_METABOLIC_PROCESS,0.6939655172413793,0.9453400234867086,0.10434395258194858,-0.26143132166750577,-0.8415610776098944,17,
GOBP_CATION_TRANSMEMBRANE_TRANSPORT,0.11938382541720154,0.6014150943396226,0.1429011493869481,0.5211284408864366,1.3310770675891979,18,
GOBP_CATION_TRANSPORT,0.12028301886792453,0.6014150943396226,0.13574094381042484,0.47238912715390924,1.3272160968315267,29,
GOBP_CD4_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION,0.3431603773584906,0.8161652218255993,0.07130529873400379,0.3951227088402811,1.1101297410379185,29,
GOBP_CD4_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION,0.47330960854092524,0.8932214917252324,0.05605958750323349,0.3617301571782208,0.9999181825992608,26,
GOBP_CELLULAR_AMIDE_METABOLIC_PROCESS,0.9987405541561712,1,0.02336673077641205,0.16102520691909705,0.420720305519681,20,
GOBP_CELLULAR_HOMEOSTASIS,0.03436426116838488,0.4442348430084455,0.2616635217115731,0.4974295560877174,1.4619727873367796,36,
GOBP_CELLULAR_ION_HOMEOSTASIS,0.021031190748481234,0.3304901403332765,0.35248785758361917,0.5461633486332798,1.5736167713755143,32,
GOBP_CELLULAR_MACROMOLECULE_BIOSYNTHETIC_PROCESS,0.9588235294117647,1,0.02179600268318178,0.20704931232548002,0.5806103472435148,28,
GOBP_CELLULAR_MACROMOLECULE_LOCALIZATION,0.3283236994219653,0.8031361019233126,0.07253518643945886,0.38517419411258375,1.1097715972215216,32,
GOBP_CELLULAR_PROTEIN_CATABOLIC_PROCESS,0.2166446499339498,0.7359443570423119,0.10319746694530717,0.5004134436334803,1.2193047588755557,15,
GOBP_CELLULAR_RESPONSE_TO_BIOTIC_STIMULUS,0.16627358490566038,0.6650943396226415,0.11284335567556247,0.4487624886051287,1.2608351130335123,29,
GOBP_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS,0.2805486284289277,0.7737183309057153,0.0847985102819124,0.44269114322537867,1.1732539390631644,21,
GOBP_CELLULAR_RESPONSE_TO_DNA_DAMAGE_STIMULUS,0.22130177514792898,0.7433036722525859,0.09528798461948437,0.4384182931054605,1.2199678223665251,27,
GOBP_CELLULAR_RESPONSE_TO_ENDOGENOUS_STIMULUS,0.9411764705882353,0.999583554719474,0.14040623852334236,-0.17803173594033747,-0.7422932261810418,46,
GOBP_CELLULAR_RESPONSE_TO_EXTERNAL_STIMULUS,0.27214377406931967,0.7725371651000043,0.08809450103985174,0.4564664926985738,1.1659161789758257,18,
GOBP_CELLULAR_RESPONSE_TO_HORMONE_STIMULUS,0.9427890345649583,0.999583554719474,0.023508484501328895,0.2183577764392427,0.6006798611968627,25,
GOBP_CELLULAR_RESPONSE_TO_INTERFERON_GAMMA,0.07052896725440806,0.5172124265323258,0.1882041463084906,0.5417018050091763,1.415337096995803,20,
GOBP_CELLULAR_RESPONSE_TO_LIPID,0.2508630609896433,0.749837289761244,0.08653997374441245,0.394360681774334,1.1714279357229938,39,
GOBP_CELLULAR_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN,0.15502958579881657,0.6582519270018031,0.11776578836269024,0.4650371239426562,1.2940389037996738,27,
GOBP_CELLULAR_RESPONSE_TO_NITROGEN_COMPOUND,0.37058823529411766,0.8319327731092436,0.06736238681662789,0.3846152811730967,1.0785431231282212,28,
GOBP_CELLULAR_RESPONSE_TO_ORGANIC_CYCLIC_COMPOUND,0.5790094339622641,0.9131331575032122,0.04650840487191565,0.32987575733081576,0.9268130655795218,29,
GOBP_CELLULAR_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND,0.13861386138613863,0.6554121151936445,0.12043337164225933,0.3930325082268437,1.2432365154016864,58,
GOBP_CELLULAR_RESPONSE_TO_PEPTIDE,0.7573812580231065,0.9785964728661887,0.0380842053196415,0.3088043032897681,0.788754353500049,18,
GOBP_CELLULAR_RESPONSE_TO_STRESS,0.04061470911086718,0.4602380346592034,0.2343926472946861,0.4483866027747335,1.4128179272056047,57,
GOBP_CELL_ACTIVATION,0.8813905930470347,0.9813150763086579,0.018320852921752697,0.23195998011363478,0.7934022932897136,147,
GOBP_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE,0.8008800880088008,0.9785964728661887,0.027940279099526344,0.25676171941572273,0.7927160935192035,48,
GOBP_CELL_CELL_ADHESION,0.8678038379530917,0.9785964728661887,0.02186794381762119,0.22947940064818917,0.7610922645206578,87,
GOBP_CELL_CELL_SIGNALING,0.03533686251203544,0.4442348430084455,0.3217759180753611,0.4669863257633817,1.4605093383549068,52,
GOBP_CELL_CHEMOTAXIS,0.0593505039193729,0.502196571625463,0.19381330272531053,0.45806710148925595,1.394894165443299,45,
GOBP_CELL_CYCLE,0.5166858457997698,0.898897115295997,0.05060042438536184,0.3289112540653951,0.9770138078987441,39,
GOBP_CELL_CYCLE_PROCESS,0.631578947368421,0.9299781990171083,0.04641549568438488,0.34965635178878407,0.8930995027085368,18,
GOBP_CELL_FATE_COMMITMENT,0.8305519897304237,0.9785964728661887,0.03375073768052985,0.2831803307514537,0.7233050716142455,18,
GOBP_CELL_KILLING,0.4867052023121387,0.8932214917252324,0.05356693847709506,0.34479179931112436,0.9934210330782072,32,
GOBP_CELL_MIGRATION,0.29330499468650373,0.7807467493737326,0.07399014391013414,0.33610906017933617,1.115860198063501,85,
GOBP_CELL_MORPHOGENESIS,0.6634615384615384,0.9326615876136642,0.11426650248443287,-0.24923076923076923,-0.8468665547629896,20,
GOBP_CELL_PROJECTION_ORGANIZATION,0.8663366336633663,0.9785964728661887,0.029919566715167132,0.25848823496212336,0.6899668067981625,22,
GOBP_CELL_SUBSTRATE_ADHESION,0.7755102040816326,0.9785964728661887,0.0943563635421779,-0.2515151515151515,-0.784340402292069,15,
GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT,0.9922480620155039,1,0.11934844059101546,-0.1637847872608474,-0.6416438050444517,36,
GOBP_CHEMICAL_HOMEOSTASIS,0.0683090705487122,0.516545601291364,0.1797823162983236,0.44956139990576827,1.3689928215719862,45,
