pathway,pval,padj,log2err,ES,NES,size,leadingEdge
GOBP_ACTIVATION_OF_IMMUNE_RESPONSE,0.41598119858989424,0.8645565498579657,0.06170540536375225,0.35009006115117036,1.060873212456892,43,
GOBP_ADAPTIVE_IMMUNE_RESPONSE,0.6429341963322546,0.9186762710094999,0.037614259956216096,0.27577673287392196,0.9122907429973179,86,
GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS,0.3818589025755879,0.8400895856662934,0.06350079680659454,0.3404612342070409,1.0753984183620955,56,
GOBP_ALPHA_BETA_T_CELL_ACTIVATION,0.8971751412429378,0.9779186882515892,0.023295800049036655,0.22813599647619204,0.7056525238393597,48,
GOBP_ALPHA_BETA_T_CELL_DIFFERENTIATION,0.8404761904761905,0.9586398010981042,0.029493642472304567,0.2491642032874179,0.7367860921154068,36,
GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION,0.9105058365758755,0.9836738042497334,0.02977746126070601,0.25497442726152447,0.6452463367306818,16,
GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS,0.78125,0.9586398010981042,0.1372507796101328,-0.19652480549544735,-0.8020333422437502,47,
GOBP_ANIMAL_ORGAN_MORPHOGENESIS,0.9889705882352942,1,0.0223699288741888,0.16824762912727403,0.4725302628194841,26,
GOBP_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY,0.8146811070998796,0.9586398010981042,0.03156490690210691,0.2689179062298131,0.7758820627704568,31,
GOBP_APOPTOTIC_SIGNALING_PATHWAY,0.3119158878504673,0.7979243642686373,0.07569463079327488,0.3777567789306485,1.1400115962213513,40,
GOBP_BEHAVIOR,0.6224489795918368,0.9186762710094999,0.12267918956880833,-0.25669186422399776,-0.8804021311586401,23,
GOBP_BIOLOGICAL_ADHESION,0.9272151898734177,0.9902298144279218,0.016997105214987943,0.21528377857350928,0.7246386163155274,101,
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERACTION_WITH_HOST,0.024375297398708296,0.3459719630784403,0.35248785758361917,0.6060869401651205,1.5337827486547513,16,
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERSPECIES_INTERACTION_BETWEEN_ORGANISMS,8.098970587902334e-5,0.008908867646692568,0.5384340963099162,0.5008379542668165,1.7178408397420946,134,
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION,0.02082013824827799,0.3053620276414105,0.35248785758361917,0.5610859387529573,1.5580175001670298,24,
GOBP_BLOOD_VESSEL_MORPHOGENESIS,0.4043321299638989,0.8591331269349844,0.06421408818446053,0.3668020210590576,1.0582973544515983,31,
GOBP_B_CELL_ACTIVATION,0.4806565064478312,0.8826347305389222,0.054793950077336284,0.3333501837942283,1.000475339459071,38,
GOBP_B_CELL_DIFFERENTIATION,0.963302752293578,1,0.0886261133285098,-0.18916481760875584,-0.5999172170021614,18,
GOBP_B_CELL_MEDIATED_IMMUNITY,0.23270440251572327,0.7192118226600984,0.09592067779217453,0.4426876784692643,1.1914055401966464,21,
GOBP_B_CELL_PROLIFERATION,0.28732747804265996,0.7782101167315175,0.08383610571599288,0.4236117137178943,1.1489910414327462,22,
GOBP_CALCIUM_ION_TRANSPORT,0.042767295597484274,0.4031984945623479,0.24504178543099617,0.5427054168176352,1.4605833225967069,21,
GOBP_CALCIUM_MEDIATED_SIGNALING,0.08406524466750313,0.4866092778574845,0.17093233537005617,0.5072862100597819,1.3759471042135114,22,
GOBP_CARBOHYDRATE_DERIVATIVE_METABOLIC_PROCESS,0.7117117117117117,0.9517204086190886,0.10552093684319848,-0.26143132166750577,-0.825814729231009,17,
GOBP_CATION_TRANSMEMBRANE_TRANSPORT,0.09693877551020408,0.49596582819174184,0.1596467019199062,0.5211284408864366,1.3587586544028787,18,
GOBP_CATION_TRANSPORT,0.0998766954377312,0.5051235171563417,0.15419096658142434,0.47238912715390924,1.3379144685317743,29,
