pathway,pval,padj,log2err,ES,NES,size,leadingEdge
GOBP_ACTIVATION_OF_IMMUNE_RESPONSE,0.4452449567723343,0.9905421451073788,0.06831108583186465,-0.3270765554063203,-1.0213470062698948,43,
GOBP_ADAPTIVE_IMMUNE_RESPONSE,0.8288288288288288,0.9905421451073788,0.03397236136349927,-0.2259945009892719,-0.7960734997880512,85,
GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS,0.4370629370629371,0.9905421451073788,0.12098514214525231,0.27024252533269966,1.0130394881022724,58,
GOBP_ALPHA_BETA_T_CELL_ACTIVATION,0.42052023121387283,0.9905421451073788,0.07130529873400379,-0.3286519590248576,-1.0391681356501825,46,
GOBP_ALPHA_BETA_T_CELL_DIFFERENTIATION,0.6637037037037037,0.9905421451073788,0.050702793702934776,-0.2922213517442749,-0.8763154598231025,35,
GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS,0.11095100864553314,0.9905421451073788,0.15851410542482433,-0.4003366052260902,-1.2699613368409315,47,
GOBP_ANIMAL_ORGAN_MORPHOGENESIS,0.5686567164179105,0.9905421451073788,0.0582216241124161,-0.3198555277556312,-0.9285246491968611,28,
GOBP_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY,0.5182370820668692,0.9905421451073788,0.06350079680659454,-0.33306443392542756,-0.9722092126340441,31,
GOBP_APOPTOTIC_SIGNALING_PATHWAY,0.8612903225806452,0.9905421451073788,0.07569463079327488,0.2076727428946439,0.7248387001970228,39,
GOBP_BEHAVIOR,0.1542056074766355,0.9905421451073788,0.13802224249664274,-0.4798652268087007,-1.2954008072696412,21,
GOBP_BIOLOGICAL_ADHESION,0.7963446475195822,0.9905421451073788,0.03653149283491246,-0.23567181305474463,-0.8357808173774713,103,
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERACTION_WITH_HOST,0.46526655896607433,0.9905421451073788,0.07182762936038092,-0.4011886833846647,-1.004722608892685,15,
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERSPECIES_INTERACTION_BETWEEN_ORGANISMS,0.25782227784730916,0.9905421451073788,0.08971046527429813,-0.3104025414143657,-1.1285592588322786,129,
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION,0.6651234567901234,0.9905421451073788,0.052482762263545854,-0.30825384399379285,-0.8484206866083048,23,
GOBP_BLOOD_VESSEL_MORPHOGENESIS,0.44661654135338347,0.9905421451073788,0.07028128417173922,-0.3491099798632198,-1.0130446236787618,29,
GOBP_B_CELL_ACTIVATION,0.3929712460063898,0.9905421451073788,0.12210792028708148,0.30302605490862883,1.054068915214432,38,
GOBP_B_CELL_DIFFERENTIATION,0.048465266558966075,0.9905421451073788,0.2616635217115731,-0.5949582983797528,-1.4899923115660527,15,
GOBP_B_CELL_MEDIATED_IMMUNITY,0.3102409638554217,0.9905421451073788,0.13500203382863138,0.351875387581495,1.1110432684164078,26,
GOBP_B_CELL_PROLIFERATION,0.46218487394957986,0.9905421451073788,0.10282184284081514,0.3409086773260035,1.0058538537940707,19,
GOBP_B_CELL_RECEPTOR_SIGNALING_PATHWAY,0.5926892950391645,0.9905421451073788,0.08431443206426534,0.3170204819320886,0.8960675708084629,15,
GOBP_CALCIUM_ION_TRANSPORT,0.3379501385041551,0.9905421451073788,0.12267918956880833,0.37953842030716695,1.1122397501019077,18,
GOBP_CALCIUM_MEDIATED_SIGNALING,0.5944444444444444,0.9905421451073788,0.08756971155485113,0.30453493226712597,0.9198027508283321,21,
GOBP_CARBOHYDRATE_DERIVATIVE_METABOLIC_PROCESS,0.15384615384615385,0.9905421451073788,0.14040623852334236,-0.5159382994100963,-1.3129415945660816,16,
GOBP_CARBOHYDRATE_METABOLIC_PROCESS,0.27948303715670436,0.9905421451073788,0.09992769737310925,-0.46200231485953636,-1.1570220953991057,15,
GOBP_CATION_TRANSPORT,0.6267806267806267,0.9905421451073788,0.08603472424556043,0.2872877555493551,0.892807691068134,24,
GOBP_CD4_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION,0.8977443609022556,0.9905421451073788,0.03753629052029203,-0.23341524622643084,-0.6773225456544797,29,
GOBP_CD4_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION,0.9724770642201835,0.9926509417356101,0.0668966276500666,0.1874401357264954,0.5920862595999513,27,
GOBP_CELLULAR_AMIDE_METABOLIC_PROCESS,0.8003120124804992,0.9905421451073788,0.044507053776927666,-0.29481340446072046,-0.7690589615640344,18,
GOBP_CELLULAR_HOMEOSTASIS,0.6534954407294833,0.9905421451073788,0.08730982576379309,0.26570257258217755,0.9034004185196449,34,
GOBP_CELLULAR_ION_HOMEOSTASIS,0.26112759643916916,0.9905421451073788,0.1473312136993771,0.358001473376368,1.1647902259702114,29,
GOBP_CELLULAR_MACROMOLECULE_BIOSYNTHETIC_PROCESS,0.7951807228915663,0.9905421451073788,0.0762797180809272,0.2476038623965486,0.7917172116581497,28,
GOBP_CELLULAR_MACROMOLECULE_LOCALIZATION,0.5278195488721804,0.9905421451073788,0.06211241889494712,-0.3292268653465993,-0.9553479566543952,29,
GOBP_CELLULAR_RESPONSE_TO_BIOTIC_STIMULUS,0.8433734939759037,0.9905421451073788,0.07325586558284547,0.24245705453924565,0.7655558980052555,26,
GOBP_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS,0.7479224376731302,0.9905421451073788,0.07511816352763015,0.27695597578046083,0.8116212452009114,18,
GOBP_CELLULAR_RESPONSE_TO_DNA_DAMAGE_STIMULUS,0.7771084337349398,0.9905421451073788,0.07747675478485777,0.25651683587385243,0.8099495269958698,26,
GOBP_CELLULAR_RESPONSE_TO_ENDOGENOUS_STIMULUS,0.10449927431059507,0.9905421451073788,0.16440575583821013,-0.40603552679717797,-1.2910399352206374,48,
GOBP_CELLULAR_RESPONSE_TO_EXTERNAL_STIMULUS,0.9412698412698413,0.9926509417356101,0.03784877227050295,-0.2343499581115408,-0.6200218151443203,20,
GOBP_CELLULAR_RESPONSE_TO_HORMONE_STIMULUS,0.14328358208955225,0.9905421451073788,0.14040623852334236,-0.4603254890385406,-1.3120256765461527,26,
GOBP_CELLULAR_RESPONSE_TO_INTERFERON_GAMMA,0.6558139534883721,0.9905421451073788,0.05334778506754903,-0.3289521267272847,-0.8654612717185474,19,
GOBP_CELLULAR_RESPONSE_TO_LIPID,0.5623003194888179,0.9905421451073788,0.09889030075206362,0.27649638955449196,0.961786106103285,38,
GOBP_CELLULAR_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN,0.7544378698224852,0.9905421451073788,0.07808923069433449,0.26714034723867525,0.8360673839783629,25,
GOBP_CELLULAR_RESPONSE_TO_NITROGEN_COMPOUND,0.6580547112462006,0.9905421451073788,0.052269331749930564,-0.2967800610055243,-0.8662957675639007,31,
GOBP_CELLULAR_RESPONSE_TO_ORGANIC_CYCLIC_COMPOUND,0.908955223880597,0.9926509417356101,0.03660822213366891,-0.21915445109388937,-0.6361944445660803,28,
