pathway,pval,padj,log2err,ES,NES,size,leadingEdge
GOBP_ACTIVATION_OF_IMMUNE_RESPONSE,0.40114285714285713,0.8751768033946252,0.06211241889494712,0.35009006115117036,1.0586160111507512,43,
GOBP_ADAPTIVE_IMMUNE_RESPONSE,0.6576200417536534,0.9486977651528115,0.03501506908735842,0.27577673287392196,0.9160332901632624,86,
GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS,0.37735849056603776,0.8472331240188382,0.06364240816510186,0.3404612342070409,1.0658219740712673,56,
GOBP_ALPHA_BETA_T_CELL_ACTIVATION,0.8939732142857143,0.9908015473191797,0.02279818393775006,0.22813599647619204,0.704409313130499,48,
GOBP_ALPHA_BETA_T_CELL_DIFFERENTIATION,0.8603286384976526,0.9789186409840605,0.027588589580002907,0.2491642032874179,0.7284361830591359,36,
GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION,0.9196891191709845,0.9968409968409969,0.029210312792388407,0.25497442726152447,0.6331193278348219,16,
GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS,0.9134615384615384,0.9968409968409969,0.14122511964253093,-0.19652480549544735,-0.8049616501331658,47,
GOBP_ANIMAL_ORGAN_MORPHOGENESIS,0.988984088127295,1,0.022298380050605155,0.16824762912727403,0.46487177754822784,26,
GOBP_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY,0.822754491017964,0.9789186409840605,0.030846824521527916,0.2689179062298131,0.7608615931759665,31,
GOBP_APOPTOTIC_SIGNALING_PATHWAY,0.30857142857142855,0.8081632653061224,0.07511816352763015,0.3777567789306485,1.1337988578118823,40,
GOBP_BEHAVIOR,0.694300518134715,0.9587837837837838,0.11623414877971643,-0.25669186422399776,-0.8649506271975852,23,
GOBP_BIOLOGICAL_ADHESION,0.9284974093264249,0.9988385598141697,0.01561808514254839,0.21528377857350928,0.7225472069439323,101,
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERACTION_WITH_HOST,0.03953394465508038,0.44275491949910556,0.3217759180753611,0.6060869401651205,1.504956243212666,16,
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERSPECIES_INTERACTION_BETWEEN_ORGANISMS,6.999637491360342e-5,0.007699601240496376,0.5384340963099162,0.5008379542668165,1.711770596898144,134,
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION,0.01651029245732018,0.30268869505087,0.35248785758361917,0.5610859387529573,1.5321919221098141,24,
GOBP_BLOOD_VESSEL_MORPHOGENESIS,0.42634730538922155,0.890819142162065,0.06143641072012707,0.3668020210590576,1.0378095458048702,31,
GOBP_B_CELL_ACTIVATION,0.5023094688221709,0.9058236505111832,0.05205700307320985,0.3333501837942283,0.9892354720988905,38,
GOBP_B_CELL_DIFFERENTIATION,0.9405940594059405,1,0.0943563635421779,-0.18916481760875584,-0.5935229931692361,18,
GOBP_B_CELL_MEDIATED_IMMUNITY,0.27616645649432536,0.7811680143755616,0.08628656262672446,0.4426876784692643,1.166949696709259,21,
GOBP_B_CELL_PROLIFERATION,0.32094175960346966,0.8180147721131328,0.077274697304471,0.4236117137178943,1.132470275819204,22,
GOBP_CALCIUM_ION_TRANSPORT,0.05926860025220681,0.48735141122253206,0.20658792269689108,0.5427054168176352,1.4306020979569276,21,
GOBP_CALCIUM_MEDIATED_SIGNALING,0.10161090458488228,0.5788853702938792,0.15315880868307333,0.5072862100597819,1.3561630512612812,22,
GOBP_CARBOHYDRATE_DERIVATIVE_METABOLIC_PROCESS,0.7348837209302326,0.97559163905932,0.10552093684319848,-0.26143132166750577,-0.8232235374954117,17,
GOBP_CATION_TRANSMEMBRANE_TRANSPORT,0.125,0.6043956043956044,0.1372507796101328,0.5211284408864366,1.340950257680757,18,
GOBP_CATION_TRANSPORT,0.12215568862275449,0.5972055888223553,0.13574094381042484,0.47238912715390924,1.3279670249714637,29,
GOBP_CD4_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION,0.34850299401197604,0.8363370128407299,0.07130529873400379,0.3951227088402811,1.1107578434724177,29,
GOBP_CD4_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION,0.48959608323133413,0.9013484377480628,0.05594285930657051,0.3617301571782208,0.9994681175152431,26,
GOBP_CELLULAR_AMIDE_METABOLIC_PROCESS,0.9987341772151899,1,0.023650101229072577,0.16102520691909705,0.42011937785677206,20,
GOBP_CELLULAR_HOMEOSTASIS,0.036384976525821594,0.44275491949910556,0.25720646646883816,0.4974295560877174,1.4542445599995009,36,
GOBP_CELLULAR_ION_HOMEOSTASIS,0.010673487661556475,0.24717550374130787,0.3807304007227924,0.5461633486332798,1.549847054961198,32,
