pathway,pval,padj,log2err,ES,NES,size,leadingEdge
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERSPECIES_INTERACTION_BETWEEN_ORGANISMS,0.021895136736228372,0.14596757824152248,0.35248785758361917,0.6711042946132361,1.6594110748738344,26,
GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY,0.3272921108742004,0.5454868514570007,0.06863256318367258,0.4301557178291139,1.1088136000191389,16,
GOBP_CYTOKINE_PRODUCTION,0.6605995717344754,0.6953679702468162,0.035996889024588974,0.3397433796604675,0.8741010661189235,15,
GOBP_DEFENSE_RESPONSE,0.4671610169491525,0.6673728813559322,0.0514264916187015,0.4028654326401405,1.0100181416898262,25,
GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM,0.15961945031712474,0.39904862579281186,0.10839425585339667,0.507877709676471,1.3069338386249458,21,
GOBP_DEFENSE_RESPONSE_TO_SYMBIONT,0.1349036402569593,0.39904862579281186,0.12043337164225933,0.5194442047113106,1.3364402673018023,15,
GOBP_IMMUNE_RESPONSE,0.0209594309543236,0.14596757824152248,0.35248785758361917,0.7117136075866944,1.7057560140320118,28,
GOBP_INNATE_IMMUNE_RESPONSE,0.15961945031712474,0.39904862579281186,0.10839425585339667,0.507877709676471,1.3069338386249458,21,
GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION,0.6605995717344754,0.6953679702468162,0.035996889024588974,0.3397433796604675,0.8741010661189235,15,
GOBP_POSITIVE_REGULATION_OF_GENE_EXPRESSION,0.5260915867944622,0.6762513312034079,0.046230252407761636,0.37304980144919553,0.9652533537266355,17,
GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS,0.6605995717344754,0.6953679702468162,0.035996889024588974,0.3397433796604675,0.8741010661189235,15,
GOBP_PROGRAMMED_CELL_DEATH,0.15524625267665954,0.39904862579281186,0.11101149245045029,0.49965491070183266,1.2855258300323769,15,
GOBP_REGULATION_OF_DEFENSE_RESPONSE,0.5410010649627263,0.6762513312034079,0.04495430676400623,0.3666656086960526,0.9487344775822991,17,
GOBP_REGULATION_OF_IMMUNE_RESPONSE,0.37327677624602335,0.5742719634554205,0.06197627360019979,0.41580571121943855,1.0790427743196227,19,
GOBP_REGULATION_OF_IMMUNE_SYSTEM_PROCESS,0.2627118644067797,0.5186541983996915,0.07955646772359566,0.46211638408007766,1.1848313001668485,22,
GOBP_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS,0.2837259100642398,0.5186541983996915,0.07608371609517249,0.44222298498351464,1.1377633996067575,15,
GOBP_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS,0.28525980911983034,0.5186541983996915,0.07530937641727728,0.44502335110994523,1.1548644438057492,19,
GOBP_REGULATION_OF_RESPONSE_TO_STRESS,0.6970338983050848,0.6970338983050848,0.03294314717246909,0.3190759514350826,0.825068791012319,18,
GOBP_RESPONSE_TO_CYTOKINE,0.0022284361710038854,0.044568723420077706,0.4317076958033464,0.7402773201176265,1.8774279292954965,24,
GOBP_RESPONSE_TO_VIRUS,0.08315565031982942,0.39904862579281186,0.15740289930528326,0.5502940159668027,1.418494428000469,16,
