pathway,pval,padj,log2err,ES,NES,size,leadingEdge
GOBP_ACTIVATION_OF_IMMUNE_RESPONSE,0.4425287356321839,0.9897893401543036,0.06847149044920875,-0.3270765554063203,-1.0257723983521034,43,
GOBP_ADAPTIVE_IMMUNE_RESPONSE,0.8631436314363143,0.9897893401543036,0.03449192150940737,-0.2259945009892719,-0.7846342795024589,85,
GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS,0.49280575539568344,0.9897893401543036,0.1147507192270233,0.27024252533269966,1.0012272471094232,58,
GOBP_ALPHA_BETA_T_CELL_ACTIVATION,0.3948497854077253,0.9897893401543036,0.07399014391013414,-0.3286519590248576,-1.046665813900869,46,
GOBP_ALPHA_BETA_T_CELL_DIFFERENTIATION,0.6448326055312955,0.9897893401543036,0.051218434854034045,-0.2922213517442749,-0.8872502781241711,35,
GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS,0.1278735632183908,0.9897893401543036,0.14641623786055022,-0.4003366052260902,-1.2757273971491316,47,
GOBP_ANIMAL_ORGAN_MORPHOGENESIS,0.5888399412628488,0.9897893401543036,0.05582647177874898,-0.3198555277556312,-0.9355704536374859,28,
GOBP_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY,0.49042709867452133,0.9897893401543036,0.06464845684219278,-0.33306443392542756,-0.9893211089324884,31,
GOBP_APOPTOTIC_SIGNALING_PATHWAY,0.8726708074534162,0.9897893401543036,0.07307443991269867,0.2076727428946439,0.7303047000215837,39,
GOBP_BEHAVIOR,0.12749615975422426,0.9897893401543036,0.15214492236756472,-0.4798652268087007,-1.3193606032829885,21,
GOBP_BIOLOGICAL_ADHESION,0.781578947368421,0.9897893401543036,0.03777050013247901,-0.23567181305474463,-0.8378162585768062,103,
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERACTION_WITH_HOST,0.5040128410914928,0.9897893401543036,0.0675188953767744,-0.4011886833846647,-0.9947264902910635,15,
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERSPECIES_INTERACTION_BETWEEN_ORGANISMS,0.22306717363751585,0.9897893401543036,0.09889030075206362,-0.3104025414143657,-1.137002055108693,129,
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION,0.6711915535444947,0.9897893401543036,0.05101141320391501,-0.30825384399379285,-0.8676798480941249,23,
GOBP_BLOOD_VESSEL_MORPHOGENESIS,0.4294117647058823,0.9897893401543036,0.07113273993278939,-0.3491099798632198,-1.0297107317519352,29,
GOBP_B_CELL_ACTIVATION,0.35625,0.9897893401543036,0.1275053153001827,0.30302605490862883,1.0592756060458688,38,
GOBP_B_CELL_DIFFERENTIATION,0.04975922953451043,0.9897893401543036,0.25720646646883816,-0.5949582983797528,-1.4751681802783796,15,
GOBP_B_CELL_MEDIATED_IMMUNITY,0.309375,0.9897893401543036,0.13802224249664274,0.351875387581495,1.1062403148994302,26,
GOBP_B_CELL_PROLIFERATION,0.42780748663101603,0.9897893401543036,0.10473282158065095,0.3409086773260035,1.0164921019587496,19,
GOBP_B_CELL_RECEPTOR_SIGNALING_PATHWAY,0.6912928759894459,0.9897893401543036,0.07667468724900914,0.3170204819320886,0.8586527347311567,15,
GOBP_CALCIUM_ION_TRANSPORT,0.31842105263157894,0.9897893401543036,0.12325722638133735,0.37953842030716695,1.1072827079689618,18,
GOBP_CALCIUM_MEDIATED_SIGNALING,0.5584045584045584,0.9897893401543036,0.09255288646847727,0.30453493226712597,0.9247232334897967,21,
GOBP_CARBOHYDRATE_DERIVATIVE_METABOLIC_PROCESS,0.14149443561208266,0.9897893401543036,0.14641623786055022,-0.5159382994100963,-1.3039279523027796,16,
GOBP_CARBOHYDRATE_METABOLIC_PROCESS,0.30818619582664525,0.9897893401543036,0.09374654224917187,-0.46200231485953636,-1.1455107289901694,15,
GOBP_CATION_TRANSPORT,0.6454545454545455,0.9897893401543036,0.08783126344801238,0.2872877555493551,0.8882910851939262,24,
GOBP_CD4_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION,0.8897058823529411,0.9897893401543036,0.03691605933168489,-0.23341524622643084,-0.6884655204873968,29,
GOBP_CD4_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION,0.9655172413793104,0.9921848453958546,0.06847149044920875,0.1874401357264954,0.5977975955209355,27,
GOBP_CELLULAR_AMIDE_METABOLIC_PROCESS,0.7893890675241158,0.9897893401543036,0.04650840487191565,-0.29481340446072046,-0.768952199133508,18,
GOBP_CELLULAR_HOMEOSTASIS,0.6394984326018809,0.9897893401543036,0.09026354843400684,0.26570257258217755,0.8937947615343738,34,
GOBP_CELLULAR_ION_HOMEOSTASIS,0.2422360248447205,0.9897893401543036,0.15740289930528326,0.358001473376368,1.1620360282210618,29,
GOBP_CELLULAR_MACROMOLECULE_BIOSYNTHETIC_PROCESS,0.8037383177570093,0.9897893401543036,0.07747675478485777,0.2476038623965486,0.7985689361396728,28,
GOBP_CELLULAR_MACROMOLECULE_LOCALIZATION,0.5235294117647059,0.9897893401543036,0.06143641072012707,-0.3292268653465993,-0.9710648677567598,29,
GOBP_CELLULAR_RESPONSE_TO_BIOTIC_STIMULUS,0.840625,0.9897893401543036,0.07530937641727728,0.24245705453924565,0.7622464594826603,26,
GOBP_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS,0.7605263157894737,0.9897893401543036,0.07165273668294567,0.27695597578046083,0.8080040028679646,18,
GOBP_CELLULAR_RESPONSE_TO_DNA_DAMAGE_STIMULUS,0.765625,0.9897893401543036,0.08020234446981443,0.25651683587385243,0.8064481782726974,26,
GOBP_CELLULAR_RESPONSE_TO_ENDOGENOUS_STIMULUS,0.11142857142857143,0.9897893401543036,0.15740289930528326,-0.40603552679717797,-1.3012605711608685,48,
GOBP_CELLULAR_RESPONSE_TO_EXTERNAL_STIMULUS,0.9037854889589906,0.9897893401543036,0.03943665095255928,-0.2343499581115408,-0.6342229064921966,20,
GOBP_CELLULAR_RESPONSE_TO_HORMONE_STIMULUS,0.11730205278592376,0.9897893401543036,0.1552419662288392,-0.4603254890385406,-1.3240717950982503,26,
GOBP_CELLULAR_RESPONSE_TO_INTERFERON_GAMMA,0.6560509554140127,0.9897893401543036,0.05456806466709405,-0.3289521267272847,-0.8746554098129702,19,
GOBP_CELLULAR_RESPONSE_TO_LIPID,0.53125,0.9897893401543036,0.10099058745592349,0.27649638955449196,0.9665369557186847,38,
GOBP_CELLULAR_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN,0.7208588957055214,0.9897893401543036,0.0824344091527096,0.26714034723867525,0.8350828177403057,25,
GOBP_CELLULAR_RESPONSE_TO_NITROGEN_COMPOUND,0.6480117820324006,0.9897893401543036,0.051530912208538955,-0.2967800610055243,-0.881543476745931,31,
GOBP_CELLULAR_RESPONSE_TO_ORGANIC_CYCLIC_COMPOUND,0.9265785609397944,0.9897893401543036,0.03494010588484777,-0.21915445109388937,-0.6410219972287928,28,
GOBP_CELLULAR_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND,0.8312586445366529,0.9897893401543036,0.03722540092475086,-0.23599653731628945,-0.7742130698833087,55,
GOBP_CELLULAR_RESPONSE_TO_PEPTIDE,0.4807987711213518,0.9897893401543036,0.06767604016417887,-0.36229823220880353,-0.9961172168991603,21,
GOBP_CELLULAR_RESPONSE_TO_PEPTIDE_HORMONE_STIMULUS,0.5200642054574639,0.9897893401543036,0.06598161440087301,-0.3950998726022373,-0.9796296003973793,15,
GOBP_CELLULAR_RESPONSE_TO_STRESS,0.43214285714285716,0.9897893401543036,0.12325722638133735,0.2788267794762369,1.0390745089073952,59,
GOBP_CELL_ACTIVATION,0.8132678132678133,0.9897893401543036,0.03265132656185353,-0.22760029493081954,-0.8372026991710747,147,
GOBP_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE,0.6480263157894737,0.9897893401543036,0.09225972605273541,0.2467882605565878,0.890539349561055,49,
GOBP_CELL_CELL_ADHESION,0.8822733423545331,0.9897893401543036,0.03338269599193924,-0.21936802426542584,-0.7640243275861932,88,
GOBP_CELL_CELL_SIGNALING,0.10175438596491228,0.9897893401543036,0.26635065708852557,0.36342130515005733,1.3131734814746692,51,
GOBP_CELL_CHEMOTAXIS,0.7557471264367817,0.9897893401543036,0.04336369878832656,-0.26107853729420083,-0.8187904419680594,43,
GOBP_CELL_CYCLE,0.8734567901234568,0.9897893401543036,0.072714107793444685,0.21351847024434334,0.7441633616158874,37,
