"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"HLA-A",3.63017593769193e-12,0.436392444874453,1,0.997,1.96392518229134e-09
"STAT1",1.93730727781431e-11,0.759433801453558,0.811,0.707,1.04808323729754e-08
"IL2RG",8.37167223224079e-06,0.430421138147764,0.79,0.72,0.00452907467764227
"BAX",1.25226198852418e-05,0.72911526794674,0.581,0.45,0.0067747373579158
"IL23R",1.29204455500861e-05,0.374989208567837,0.847,0.81,0.00698996104259657
"IRF1",4.58248948303155e-05,0.569209170333574,0.646,0.579,0.0247912681032007
"CD74",5.05263279324391e-05,0.484977329937033,0.767,0.701,0.0273347434114496
"SATB1",5.96902333337633e-05,0.319838354879002,0.86,0.814,0.032292416233566
"TRBC2",8.74902920289239e-05,0.301579747674405,0.985,0.974,0.0473322479876478
"ADAR",0.000198176681482576,0.217582205621722,0.92,0.9,0.107213584682073
"LEF1",0.000200575555277257,0.418283219624633,0.735,0.653,0.108511375404996
"TRAC",0.00027059406259044,0.268431422649643,0.966,0.942,0.146391387861428
"LAT",0.000358498748204962,0.442025623047286,0.602,0.508,0.193947822778885
"IL32",0.000643311736631421,0.664791716158097,0.886,0.884,0.348031649517599
"CD64:MD22-FCGR1A-AHS0180-pAbO",0.000783792022509665,-0.699806604877674,0.032,0.087,0.424031484177729
"BCL11B",0.000938096112397913,0.765917915844919,0.413,0.325,0.507509996807271
"CD274",0.00108675153417773,1.57050070556874,0.1,0.039,0.587932579990151
"CD48",0.00112511048927223,0.238761198607773,0.879,0.865,0.608684774696278
"HIF1A",0.00155860011185844,0.567484257933106,0.727,0.701,0.843202660515416
"STAT2",0.00166633821400603,0.22973205697723,0.739,0.707,0.901488973777261
"PTPRC",0.00178664666383049,0.198382458109734,0.973,0.981,0.966575845132294
"CD52",0.00221120910943728,0.463990327150739,0.803,0.759,1
"CD8B",0.00232947371055833,1.02250750310756,0.335,0.264,1
"CASP5",0.0029641879124583,0.378434790030905,0.547,0.476,1
"KLRF1",0.00346831751140501,-0.896278691526965,0.008,0.035,1
"LAMP1",0.00375925842809705,0.155783518246467,0.676,0.672,1
"IRF9",0.00387851309864835,0.618458882954365,0.46,0.395,1
"IKZF1",0.00393510107000301,0.49574660876265,0.559,0.502,1
"GIMAP5",0.00400424442750325,0.347810287272886,0.477,0.395,1
"MAPK1",0.00447155051995872,2.1931580720013,0.066,0.023,1
"CD3D",0.00486898928188212,0.152121544537803,0.892,0.904,1
"TNFSF10",0.0056586388671402,0.52649445551262,0.358,0.267,1
"SELL",0.0061844493883491,0.268648388644625,0.686,0.637,1
"FAM65B",0.00658494294171162,0.269059052154548,0.633,0.611,1
"KIT",0.00866955398194307,-2.12528806279093,0.011,0.039,1
"DUSP4",0.00902498257606166,-1.38011181908771,0.019,0.051,1
"GBP5",0.00989785419385937,0.575114116805727,0.375,0.305,1
"CD2",0.0108328484774999,0.31279318362225,0.847,0.859,1
"MAF",0.0109528637631456,0.720954617472064,0.066,0.026,1
"DDIT3",0.0125282971361693,0.738354108136638,0.218,0.151,1
"EGR3",0.0137505607002843,0.30906077516513,0.049,0.093,1
"CASP8",0.0160066711824246,0.5946004123974,0.239,0.177,1
"PDIA4",0.0165180460908006,0.519685707473533,0.214,0.154,1
"ZBTB16",0.0166735107071242,-0.856308199079607,0.034,0.071,1
"CCL20",0.0175747857879778,0.450373622390916,0.032,0.068,1
"NR4A1",0.0176054712614821,-0.690348648196007,0.019,0.048,1
"CD6",0.0179743701646569,0.455421785889736,0.568,0.537,1
"CD28:L293-CD28-AHS0138-pAbO",0.018272282800458,-1.20292445276478,0.013,0.039,1
"ITK",0.0193558830809623,0.431718059842315,0.648,0.63,1
"STAT5A",0.0195824596927054,1.40633442718577,0.182,0.132,1
"CCR7",0.0205440862057395,0.259369557269422,0.581,0.524,1
"CD79B",0.0207436375284726,6.74302084220796,0.017,0,1
"LCK",0.0232542272598737,0.297959091554342,0.769,0.778,1
"PCNA",0.0233638425082465,0.473097774018851,0.214,0.154,1
"LAIR2",0.0239400718860199,-5.44562739007373,0,0.01,1
"CD45RO-PTPRC-AHS0036-pAbO",0.0252228213362634,-0.654971893209361,0.485,0.534,1
"CTSD",0.0261137558929158,-1.61522246448402,0.004,0.019,1
"IFI16",0.0262669739605344,0.151804374197971,0.667,0.633,1
"CEACAM8",0.0293348876494571,4.57677565393823,0.015,0,1
"IL15RA",0.0308772158854741,0.610759432748218,0.125,0.08,1
"CustomAbSeq11-ACU7011-pAbO",0.0324827943769874,-0.814680144679111,0.981,0.99,1
"LIPA",0.0330987430660575,0.46228526313314,0.39,0.344,1
"CD3:UCHT1-CD3E-AHS0231-pAbO",0.0335035292327467,-0.696434299267477,0.042,0.077,1
"CD56:NCAM16.2-NCAM1-AHS0019-pAbO",0.0335810195824267,-0.207897496088265,0.356,0.46,1
"OAS1",0.0354825057059263,-0.331679742899206,0.112,0.164,1
