"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ISG15",4.15529253078519e-50,3.4790939002554,0.909,0.288,2.24801325915479e-47
"MT2A",1.25433990927337e-48,3.42133064117594,0.886,0.354,6.78597890916895e-46
"USP18",5.5038315129001e-42,2.95626055805148,0.79,0.168,2.97757284847895e-39
"TNFSF10",2.40184081022308e-36,3.40735744921829,0.801,0.274,1.29939587833069e-33
"LAMP3",9.38973942042941e-34,2.77003703005856,0.756,0.212,5.07984902645231e-31
"STAT2",5.06211190526231e-32,1.95761412281795,0.949,0.712,2.73860254074691e-29
"IFITM1",4.42737916926945e-30,2.22187374454352,0.858,0.482,2.39521213057477e-27
"LAP3",2.27912361305391e-27,1.82489911624233,0.812,0.383,1.23300587466217e-24
"IFITM3",5.72722531361904e-27,2.20808934389864,0.818,0.453,3.0984288946679e-24
"ADAR",4.05494517927074e-25,1.29076550182208,0.994,0.898,2.19372534198547e-22
"IFI16",4.17170075495966e-23,1.34078468536116,0.903,0.631,2.25689010843318e-20
"STAT1",8.78351012035024e-23,1.32119454048992,0.96,0.726,4.75187897510948e-20
"HLA-A",9.7792462705957e-23,0.927644414489657,1,0.996,5.29057223239227e-20
"ZBP1",2.61372127690844e-22,2.91110947234559,0.534,0.131,1.41402321080746e-19
"DDX58",2.86003981866999e-22,2.86587651006006,0.574,0.175,1.54728154190046e-19
"IFITM2",1.65271938584505e-16,1.58426509218823,0.716,0.409,8.94121187742172e-14
"CD69-CD69-AHS0010-pAbO",2.4169334979729e-14,0.811504605098943,0.966,0.894,1.30756102240334e-11
"OAS1",1.16689801464972e-13,2.02503498814859,0.472,0.161,6.31291825925497e-11
"IFIH1",2.41494895918672e-13,2.66084846039828,0.375,0.099,1.30648738692001e-10
"CASP1",3.59960903685803e-13,1.20223960420219,0.619,0.318,1.94738848894019e-10
"CD48",1.0636790161026e-12,0.763760237711087,0.949,0.85,5.75450347711508e-10
"LGALS9",5.13859620365715e-11,3.74180924139646,0.199,0.018,2.77998054617852e-08
"CASP5",5.60015041211958e-09,0.904527876647363,0.665,0.449,3.02968137295669e-06
"IRF7",2.24992653810472e-08,2.46842739123471,0.307,0.109,1.21721025711465e-05
"JUND",3.88132027733622e-08,0.607162850876313,0.943,0.858,2.09979427003889e-05
"GBP5",7.6952293344972e-08,1.36515105351208,0.523,0.303,4.16311906996298e-05
"CCR7",2.84932954403805e-07,1.43708571201987,0.659,0.573,0.000154148728332458
"CXCL10",2.99187754339289e-07,6.41845091262923,0.114,0.007,0.000161860575097555
"FAM65B",6.45983518185836e-07,1.00245585907013,0.739,0.628,0.000349477083338537
"SELL",1.71476760570979e-06,0.852735444477743,0.773,0.686,0.000927689274688995
"RGS1",2.00336696540947e-06,2.17366023780814,0.415,0.23,0.00108382152828652
"SATB1",2.65109590611147e-06,0.68114863216976,0.852,0.818,0.00143424288520631
"IRF1",8.61955571281545e-06,0.928088417584623,0.705,0.584,0.00466317964063316
"GIMAP2",1.10135822655773e-05,1.03700491709521,0.688,0.624,0.00595834800567731
"CD74",2.15006932367341e-05,0.687602510831154,0.778,0.701,0.0116318750410732
"TRAT1",3.06527279159401e-05,0.678747012057987,0.591,0.438,0.0165831258025236
"CD274",6.83077321142619e-05,2.54002208703202,0.142,0.04,0.0369544830738157
